file path,line count,code lines,complexity
/Users/madole/Code/Propeller/visualiser/app/components/util/isNewPolygonSegmentValid.js,33,26,2
/Users/madole/Code/Propeller/visualiser/app/components/util/loadTexture.js,23,17,0
/Users/madole/Code/Propeller/visualiser/app/components/util/manageImagePlanes.js,52,42,1
/Users/madole/Code/Propeller/visualiser/app/components/util/radar.js,95,77,7
/Users/madole/Code/Propeller/visualiser/app/components/util/setToGlobeHeight.js,33,28,1
/Users/madole/Code/Propeller/visualiser/app/components/util/simplifyCartographics.js,162,129,15
/Users/madole/Code/Propeller/visualiser/app/components/widgets/Checkbox.jsx,36,30,3
/Users/madole/Code/Propeller/visualiser/app/components/widgets/DeleteWithConfirm.jsx,65,57,1
/Users/madole/Code/Propeller/visualiser/app/components/widgets/Dropdown/Body.jsx,45,38,1
/Users/madole/Code/Propeller/visualiser/app/components/widgets/Dropdown/Components.jsx,84,74,3
/Users/madole/Code/Propeller/visualiser/app/components/widgets/Dropdown/MenuGroup.jsx,52,46,1
/Users/madole/Code/Propeller/visualiser/app/components/widgets/Dropdown/Option.jsx,84,72,4
/Users/madole/Code/Propeller/visualiser/app/components/widgets/Dropdown/Select.jsx,91,80,2
/Users/madole/Code/Propeller/visualiser/app/components/widgets/Dropdown/index.jsx,108,91,6
/Users/madole/Code/Propeller/visualiser/app/components/widgets/DropdownSelect.jsx,88,83,3
/Users/madole/Code/Propeller/visualiser/app/components/widgets/DropdownSelectWithCheckedItems.jsx,90,81,2
/Users/madole/Code/Propeller/visualiser/app/components/widgets/IconWithDropdown.jsx,46,40,2
/Users/madole/Code/Propeller/visualiser/app/components/widgets/InputWithConfirmButton.jsx,90,80,5
/Users/madole/Code/Propeller/visualiser/app/components/widgets/Radio.jsx,36,33,2
/Users/madole/Code/Propeller/visualiser/app/components/widgets/Spinner.jsx,17,15,0
/Users/madole/Code/Propeller/visualiser/app/components/widgets/Toggle.jsx,38,33,2
/Users/madole/Code/Propeller/visualiser/app/components/widgets/Tooltip.jsx,11,9,1
/Users/madole/Code/Propeller/visualiser/app/components/widgets/TooltipInScroll.jsx,20,18,0
/Users/madole/Code/Propeller/visualiser/app/containers/AnnotationDialog/AnnotationDialog.jsx,213,188,13
/Users/madole/Code/Propeller/visualiser/app/containers/AnnotationDialog/Components.jsx,54,46,0
/Users/madole/Code/Propeller/visualiser/app/containers/AnnotationDialog/index.js,21,18,0
/Users/madole/Code/Propeller/visualiser/app/containers/AnnotationDialogLocated/AnnotationDialogLocated.jsx,22,17,0
/Users/madole/Code/Propeller/visualiser/app/containers/AnnotationDialogLocated/index.js,27,22,4
/Users/madole/Code/Propeller/visualiser/app/containers/AnnotationDisplayVerts/AnnotationDisplayVerts.jsx,47,38,4
/Users/madole/Code/Propeller/visualiser/app/containers/AnnotationDisplayVerts/index.js,18,15,0
/Users/madole/Code/Propeller/visualiser/app/containers/App/App.jsx,486,432,37
/Users/madole/Code/Propeller/visualiser/app/containers/App/index.js,48,45,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumBaseMap/CesiumBaseMap.jsx,97,75,6
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumBaseMap/FlatColorImageryProvider.js,43,30,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumBaseMap/index.js,13,10,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumBounds/CesiumBound.jsx,88,72,2
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumBounds/CesiumBounds.jsx,29,26,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumBounds/index.js,14,12,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumCameraPoses/CesiumCameraPoses.jsx,120,98,15
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumCameraPoses/index.js,15,13,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumCameraPoses/visualiseCameraPoses.js,107,93,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumCutFillHeatmapForSurfaces/CesiumCutFillHeatmapForSurfaces.jsx,81,67,4
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumCutFillHeatmapForSurfaces/index.js,24,19,3
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumCutFillTooltip/CesiumCutFillTooltip.jsx,149,124,10
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumCutFillTooltip/index.js,18,15,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumCutFillTooltipForSurfaces/CesiumCutFillTooltipForSurfaces.jsx,68,54,4
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumCutFillTooltipForSurfaces/index.js,12,10,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumDxfContextMenu/CesiumDxfContextMenu.jsx,119,102,1
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumDxfContextMenu/index.js,16,13,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumDxfFiles/CesiumDxfFile.jsx,67,59,4
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumDxfFiles/CesiumDxfFiles.jsx,97,85,3
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumDxfFiles/DxfLayer.jsx,177,144,18
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumDxfFiles/DxfLayerDataSource/index.jsx,123,95,7
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumDxfFiles/DxfLayerDataSource/renderDxfEntities.jsx,115,103,18
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumDxfFiles/DxfLayerDataSource/renderPoint.jsx,31,25,2
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumDxfFiles/DxfLayerDataSource/renderPolyline.jsx,47,42,3
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumDxfFiles/DxfLayerDataSource/renderText.jsx,44,37,5
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumDxfFiles/DxfLayerDataSource/util/createObject.jsx,8,7,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumDxfFiles/index.js,34,31,1
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumEntityHoverTooltip/CesiumEntityHoverTooltip.jsx,131,114,13
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumEntityHoverTooltip/index.js,12,10,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumGeolocationInfo/CesiumDistanceLegend.jsx,243,212,11
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumGeolocationInfo/CesiumGeolocationInfo.jsx,151,126,7
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumGeolocationInfo/index.js,14,12,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumGeometrySnap/CesiumGeometrySnap.jsx,130,106,12
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumGeometrySnap/index.js,12,10,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumGlobe/CesiumGlobe.jsx,870,756,101
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumGlobe/CesiumPerformanceDisplay.jsx,37,30,2
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumGlobe/addImageryProvider.jsx,27,26,4
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumGlobe/cameraLimiter.js,248,236,16
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumGlobe/cesiumAnimations.js,32,28,4
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumGlobe/index.js,76,72,0
/Users/madole/Code/Propeller/visualiser/app/containers/CesiumInspector/CesiumInspector.jsx,45,36,2
